Date,AAPL,GOOG,NDAQ
2017-01-03,116.15,786.14,66.68
2017-01-04,116.02,786.9,67.72
2017-01-05,116.61,794.02,67.64
2017-01-06,117.91,806.15,68.46
2017-01-09,118.99,806.65,67.77
2017-01-10,119.11,804.79,67.2
2017-01-11,119.75,807.91,67.72
2017-01-12,119.25,806.36,67.4
2017-01-13,119.04,807.88,67.71
2017-01-17,120.0,804.61,66.99
2017-01-18,119.99,806.07,67.25
2017-01-19,119.78,802.18,67.06
2017-01-20,120.0,805.02,67.36
2017-01-23,120.08,819.31,67.32
2017-01-24,119.97,823.87,67.95
2017-01-25,121.88,835.67,68.34
2017-01-26,121.94,832.15,68.83
2017-01-27,121.95,823.31,68.36
2017-01-30,121.63,802.32,68.18
2017-01-31,121.35,796.79,70.54
2017-02-01,128.75,795.7,70.75
2017-02-02,128.53,798.53,70.67
2017-02-03,129.08,801.49,70.34
2017-02-06,130.29,801.34,69.74
2017-02-07,131.53,806.97,69.36
2017-02-08,132.04,808.38,68.88
2017-02-09,132.42,809.56,69.1
2017-02-10,132.12,813.67,69.77
2017-02-13,133.29,819.24,70.7
2017-02-14,135.02,820.45,70.78
2017-02-15,135.51,818.98,71.25
2017-02-16,135.34,824.16,71.34
2017-02-17,135.72,828.07,71.51
2017-02-21,136.7,831.66,71.37
2017-02-22,137.11,830.76,71.24
2017-02-23,136.53,831.33,71.45
2017-02-24,136.66,828.64,71.45
2017-02-27,136.93,829.28,71.15
2017-02-28,136.99,823.21,71.11
2017-03-01,139.79,835.24,72.18
2017-03-02,138.96,830.63,71.25
2017-03-03,139.78,829.08,71.09
2017-03-06,139.34,827.78,71.36
2017-03-07,139.52,831.91,70.93
2017-03-08,139.0,835.37,70.73
2017-03-09,138.68,838.68,71.08
2017-03-10,139.14,843.25,70.96
2017-03-13,139.2,845.54,70.78
2017-03-14,138.99,845.62,70.71
2017-03-15,140.46,847.2,70.82
2017-03-16,140.69,848.78,71.16
2017-03-17,139.99,852.12,70.88
2017-03-20,141.46,848.4,70.77
2017-03-21,139.84,830.46,69.74
2017-03-22,141.42,829.59,69.7
2017-03-23,140.92,817.58,69.73
2017-03-24,140.64,814.43,69.85
2017-03-27,140.88,819.51,69.01
2017-03-28,143.8,820.92,69.14
2017-03-29,144.12,831.41,68.67
2017-03-30,143.93,831.5,69.39
2017-03-31,143.66,829.56,69.45
2017-04-03,143.7,838.55,68.91
2017-04-04,144.77,834.57,68.63
2017-04-05,144.02,831.41,69.09
2017-04-06,143.66,827.88,69.13
2017-04-07,143.34,824.67,69.22
2017-04-10,143.17,824.73,69.36
2017-04-11,141.63,823.35,69.0
2017-04-12,141.8,824.32,68.68
2017-04-13,141.05,823.56,68.11
2017-04-17,141.83,837.17,69.08
2017-04-18,141.2,836.82,69.1
2017-04-19,140.68,838.21,69.17
2017-04-20,142.44,841.65,70.12
2017-04-21,142.27,843.19,69.91
2017-04-24,143.64,862.76,70.45
2017-04-25,144.53,872.3,70.53
2017-04-26,143.68,871.73,69.54
2017-04-27,143.79,874.25,68.67
2017-04-28,143.65,905.96,68.87
2017-05-01,146.58,912.57,68.44
2017-05-02,147.51,916.44,68.36
2017-05-03,147.06,927.04,67.81
2017-05-04,146.53,931.66,67.96
2017-05-05,148.96,927.13,67.91
2017-05-08,153.01,934.3,67.03
2017-05-09,153.99,932.17,66.75
2017-05-10,153.26,928.78,66.75
2017-05-11,153.95,930.6,67.2
2017-05-12,156.1,932.22,67.55
2017-05-15,155.7,937.08,67.77
2017-05-16,155.47,943.0,67.37
2017-05-17,150.25,919.62,66.73
2017-05-18,152.54,930.24,66.74
2017-05-19,153.06,934.01,67.44
2017-05-22,153.99,941.86,67.91
2017-05-23,153.8,948.82,67.93
2017-05-24,153.34,954.96,67.67
2017-05-25,153.87,969.54,68.19
2017-05-26,153.61,971.47,67.58
2017-05-30,153.67,975.88,67.42
2017-05-31,152.76,964.86,67.65
2017-06-01,153.18,966.95,67.87
2017-06-02,155.45,975.6,67.5
2017-06-05,153.93,983.68,67.87
2017-06-06,154.45,976.57,68.26
2017-06-07,155.37,981.08,69.6
2017-06-08,154.99,983.41,70.21
2017-06-09,148.98,949.83,70.54
2017-06-12,145.42,942.9,70.4
2017-06-13,146.59,953.4,71.49
2017-06-14,145.16,950.76,71.05
2017-06-15,144.29,942.31,70.95
2017-06-16,142.27,939.78,71.16
2017-06-19,146.34,957.37,71.14
2017-06-20,145.01,950.63,70.27
2017-06-21,145.87,959.45,69.76
2017-06-22,145.63,957.09,69.53
2017-06-23,146.28,965.59,69.86
2017-06-26,145.82,952.27,70.3
2017-06-27,143.73,927.33,70.68
2017-06-28,145.83,940.49,71.63
2017-06-29,143.68,917.79,71.54
2017-06-30,144.02,908.73,71.49
2017-07-03,143.5,898.7,71.65
2017-07-05,144.09,911.71,71.68
2017-07-06,142.73,906.69,71.26
2017-07-07,144.18,918.59,71.63
2017-07-10,145.06,928.8,71.34
2017-07-11,145.53,930.09,71.2
2017-07-12,145.74,943.83,71.33
2017-07-13,147.77,947.16,71.54
2017-07-14,149.04,955.99,71.06
2017-07-17,149.56,953.42,71.49
2017-07-18,150.08,965.4,71.7
2017-07-19,151.02,970.89,71.81
2017-07-20,150.34,968.15,72.02
2017-07-21,150.27,972.92,72.74
2017-07-24,152.09,980.34,72.64
2017-07-25,152.74,950.7,72.74
2017-07-26,153.46,947.8,74.45
2017-07-27,150.56,934.09,74.33
2017-07-28,149.5,941.53,74.37
